BOTTLE,201151214CDIACAKO
# 12/14/2015 Initialized README file
# Data source: SHIP: Gordon Gunter
# Cruise: GU1305; EcoMon Survey
# Region: U.S. east coast
# EXPOCODE: 33GG20131113
# DATES: 11/14 - 11/24/2013
# Chief Scientist: C. Melrose
# 90 stations with 24 place Rosette
# Hydro: Who - C. Melrose - final
# 	Notes: 
# Nuts: Who - D. Townsend; M. Thomas - final
# 	Notes:
# O2: Who -  C. Melrose; Status - final
# 	Notes: CTDOXY only
# TCO2: Who - R.Wanninkhof; Status - final
# 	Notes: 
# TA: Who - R.Wanninkhof; Status - final
# 	Notes:
# pH: Who - R.Wanninkhof; Status - final
# 	Notes:
# pCO2: Who - ; Status - no data reported
# 	Notes: 
# CFC: Who - ; Status - no data reported 
# 	Notes: 
# DOC: Who - ; Status - no data reported
# 	Notes:
# C13: Who -
# 	Notes: no data in file
# References:
EXPOCODE,CRUISE_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,SAMPLE_ID,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TMP,PH_TOT_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,DEG C,
33GG20131113,GU1305,29,8,625,6,290806,20131116,23:12,40.6717,-70.6267,62,30,14.4422,33.2966,177,2,8.6,2,3.9,2,0.3,2,0.2,2,2038.6,2,2227.6,2,7.923,25,2
33GG20131113,GU1305,29,8,623,2,290802,20131116,23:12,40.6717,-70.6267,62,-999,14.6275,33.4043,-999,9,11.2,2,4.5,2,0.3,2,0.3,2,2050.9,2,2237.2,2,7.915,25,2
33GG20131113,GU1305,29,8,624,2,290802,20131116,23:12,40.6717,-70.6267,62,-999,14.6275,33.4043,-999,9,11.2,2,4.5,2,0.3,2,0.3,2,2050.9,2,2237.5,2,7.919,25,2
33GG20131113,GU1305,36,9,629,8,360908,20131117,15:14,40.9033,-69.1567,68,3,11.0321,32.635,192,2,3.5,2,4.5,2,0.3,2,0.1,2,2039.9,2,2194.4,2,7.853,25,2
33GG20131113,GU1305,36,9,628,5,360905,20131117,15:14,40.9033,-69.1567,,,11.0034,32.6417,-999,9,-999,9,-999,9,-999,9,-999,9,2035,2,2185.1,2,7.854,25,2
33GG20131113,GU1305,36,9,627,2,360902,20131117,15:14,40.9033,-69.1567,68,63,10.901,32.6749,191,2,3.4,2,4.5,2,0.2,2,0.1,2,2041.3,2,2193.5,2,7.853,25,2
33GG20131113,GU1305,39,10,633,12,391012,20131118,1:01,40.24,-67.68,1000,4,14.0962,33.9062,188,2,3.6,2,1.7,2,0,2,0.3,2,2036.4,2,2259.8,2,7.988,25,2
33GG20131113,GU1305,39,10,631,4,391004,20131118,1:01,40.24,-67.68,1000,249,10.5713,35.3455,100,2,13.4,2,22.9,2,1.1,2,0.1,2,2193,2,2325.5,2,7.76,25,2
33GG20131113,GU1305,39,10,632,4,391004,20131118,1:01,40.24,-67.68,1000,249,10.5713,35.3455,100,2,13.4,2,22.9,2,1.1,2,0.1,2,2192.4,2,2330.4,2,7.76,25,2
33GG20131113,GU1305,39,10,630,2,391002,20131118,1:01,40.24,-67.68,1000,502,5.9707,35.0204,152,2,14.2,2,20.2,2,0.9,2,0.4,2,2183.6,2,2307.5,2,7.751,25,2
33GG20131113,GU1305,40,11,636,12,401112,20131118,2:25,40.3883,-67.6883,395,3,13.7831,33.7985,193,2,2.7,2,1.6,2,0,2,0,2,2038.5,2,2258.2,2,7.984,25,2
33GG20131113,GU1305,40,11,635,5,401105,20131118,2:25,40.3883,-67.6883,,,12.3628,35.463,-999,9,-999,9,-999,9,-999,9,-999,9,2168.9,2,2331.2,2,7.829,25,2
33GG20131113,GU1305,40,11,634,2,401102,20131118,2:25,40.3883,-67.6883,395,302,8.8978,35.2015,114,2,12.3,2,22.4,2,1,2,0,2,2184,2,2316.8,2,7.757,25,2
33GG20131113,GU1305,44,12,639,8,441208,20131118,10:36,40.925,-67.7117,66,4,12.804,32.5875,190,2,0.7,2,2.1,2,0.2,2,0,2,2024.3,3,2190.3,2,7.904,25,2
33GG20131113,GU1305,44,12,638,5,441205,20131118,10:36,40.925,-67.7117,,,12.7726,32.5957,-999,9,-999,9,-999,9,-999,9,-999,9,2021.2,2,2200.3,2,7.915,25,2
33GG20131113,GU1305,44,12,637,2,441202,20131118,10:36,40.925,-67.7117,66,62,12.6817,32.6128,191,2,1,2,2.4,2,0.2,2,0.4,2,2024.1,3,2196.6,2,7.903,25,2
33GG20131113,GU1305,57,13,642,6,571306,20131121,4:49,42.315,-70.2783,36,4,9.6122,32.6866,199,2,1.7,2,3.9,2,0.2,2,0.2,2,2053,3,2195.8,2,7.853,25,2
33GG20131113,GU1305,57,13,643,6,571306,20131121,4:49,42.315,-70.2783,36,4,9.6122,32.6866,199,2,1.7,2,3.9,2,0.2,2,0.2,2,2054.7,3,2196,2,7.853,25,2
33GG20131113,GU1305,57,13,641,4,571304,20131121,4:49,42.315,-70.2783,36,15,9.6158,32.6866,200,2,1.7,2,3.9,2,0.2,2,0.3,2,2040.7,2,2179.7,2,7.852,25,2
33GG20131113,GU1305,57,13,640,2,571302,20131121,4:49,42.315,-70.2783,36,33,9.6194,32.6866,200,2,1.8,2,3.9,2,0.2,2,0.2,2,2047.7,3,2126.8,2,7.852,25,2
33GG20131113,GU1305,59,14,646,9,591409,20131121,6:49,42.3733,-70.46,88,3,10.0572,32.3547,195,2,2.6,2,3,2,0.2,2,0,2,2019.6,3,2181,2,7.843,25,2
33GG20131113,GU1305,59,14,645,6,591406,20131121,6:49,42.3733,-70.46,88,40,10.0591,32.3604,194,2,2.9,2,3.4,2,0.2,2,0,2,2041.2,3,2179.2,2,7.838,25,2
33GG20131113,GU1305,59,14,644,2,591402,20131121,6:49,42.3733,-70.46,88,83,9.7451,32.6926,157,2,8.8,2,9.2,2,0.5,2,0.1,2,2093.3,3,2197.1,2,7.728,25,2
33GG20131113,GU1305,60,15,649,9,601509,20131121,8:11,42.4233,-70.6133,89,4,9.65,32.4053,198,2,2.8,2,3.8,2,0.3,2,0,2,2042.5,2,2179.9,2,7.831,25,2
33GG20131113,GU1305,60,15,648,6,601506,20131121,8:11,42.4233,-70.6133,89,40,9.5931,32.462,197,2,3,2,4.4,2,0.3,2,0.1,2,2044.8,2,2185,2,7.823,25,2
33GG20131113,GU1305,60,15,647,2,601502,20131121,8:11,42.4233,-70.6133,89,83,9.6712,32.8666,165,2,6.6,2,8.5,2,0.5,2,0.2,2,2082.8,2,2069.9,4,7.761,25,2
33GG20131113,GU1305,62,16,652,11,621611,20131121,13:48,42.51,-69.6517,258,3,9.69,33.1366,199,2,1.7,2,4.1,2,0.2,2,0.1,2,2052.9,2,2227.2,2,7.885,25,2
33GG20131113,GU1305,62,16,651,5,621605,20131121,13:48,42.51,-69.6517,258,80,9.5045,33.2204,171,2,5.6,2,9.7,2,0.5,2,0,2,2106,2,2232.3,2,7.767,25,2
33GG20131113,GU1305,62,16,650,2,621602,20131121,13:48,42.51,-69.6517,258,248,8.1141,34.2967,133,2,16.1,2,17.9,2,0.8,2,0.1,2,2166,2,2277.4,2,7.697,25,2
33GG20131113,GU1305,67,17,655,8,671708,20131122,4:52,42.0133,-67.69,75,3,11.3912,32.8717,191,2,3.4,2,4.3,2,0.3,2,0.3,2,2058.2,2,2162.7,2,7.831,25,2
33GG20131113,GU1305,67,17,654,5,671705,20131122,4:52,42.0133,-67.69,,,11.3823,32.8714,-999,9,-999,9,-999,9,-999,9,-999,9,2047.9,3,2210.2,2,7.878,25,2
33GG20131113,GU1305,67,17,653,2,671702,20131122,4:52,42.0133,-67.69,75,65,11.1389,32.8881,188,2,4,2,5.3,2,0.3,2,0.1,2,2047.6,2,2194.2,2,7.869,25,2
33GG20131113,GU1305,71,18,659,11,711811,20131122,16:50,42.225,-65.77,229,3,10.4203,31.3019,206,2,2.6,2,0.1,2,0,2,0.1,2,1976.6,3,2141,2,7.924,25,2
33GG20131113,GU1305,71,18,657,4,711804,20131122,16:50,42.225,-65.77,,,8.7939,33.9473,-999,9,-999,9,-999,9,-999,9,-999,9,2145,3,2264.5,2,7.778,25,2
33GG20131113,GU1305,71,18,658,4,711804,20131122,16:50,42.225,-65.77,,,8.7939,33.9473,-999,9,-999,9,-999,9,-999,9,-999,9,2135.4,3,2263.5,2,7.774,25,2
33GG20131113,GU1305,71,18,656,2,711802,20131122,16:50,42.225,-65.77,229,220,8.7196,35.1616,122,2,11.5,2,21.9,2,0.9,2,0,2,2188.4,3,2320.7,2,7.768,25,2
33GG20131113,GU1305,73,19,662,12,731912,20131122,1:07,42.42,-67.0183,370,4,10.5671,32.7625,201,2,1.6,2,2,2,0,2,0.2,2,2024.5,2,2207.5,2,7.92,25,2
33GG20131113,GU1305,73,19,661,5,731905,20131122,1:07,42.42,-67.0183,,,9.9248,35.1292,-999,9,-999,9,-999,9,-999,9,-999,9,2169.1,2,2308.3,2,7.78,25,2
33GG20131113,GU1305,73,19,660,2,731902,20131122,1:07,42.42,-67.0183,370,360,9.0648,35.1189,121,2,13.8,2,20,2,0.8,2,0,2,2189.9,3,2315.6,2,7.76,25,2
33GG20131113,GU1305,75,20,665,11,752011,20131123,7:12,43.025,-67.7,175,3,9.7974,33.102,197,2,3.9,2,4.2,2,0.1,2,0.4,2,2051.3,2,2216.5,3,7.883,25,2
33GG20131113,GU1305,75,20,664,5,752005,20131123,7:12,43.025,-67.7,,,8.8315,33.8217,-999,9,-999,9,-999,9,-999,9,-999,9,2132.5,2,2256.8,2,7.741,25,2
33GG20131113,GU1305,75,20,663,2,752002,20131123,7:12,43.025,-67.7,175,168,8.7754,34.3934,134,2,10.8,2,17.2,2,0.7,2,0.5,2,2161.4,2,2279.5,2,7.732,25,2
33GG20131113,GU1305,76,21,668,11,762111,20131123,10:55,43.4067,-67.7067,255,3,9.8564,33.0989,197,2,2,2,4,2,0.1,2,0.2,2,2058.5,3,2108.7,2,7.893,25,2
33GG20131113,GU1305,76,21,667,5,762105,20131123,10:55,43.4067,-67.7067,,,8.4033,33.9628,-999,9,-999,9,-999,9,-999,9,-999,9,2150.1,3,2259.9,2,7.732,25,2
33GG20131113,GU1305,76,21,666,2,762102,20131123,10:55,43.4067,-67.7067,255,242,8.9075,34.5343,129,2,11.9,2,17.8,2,0.8,2,0.2,2,2167.3,2,2289.4,2,7.735,25,3
33GG20131113,GU1305,78,22,672,10,782210,20131123,19:08,43.7733,-68.67,121,3,9.8422,33.1106,190,2,3.7,2,7.3,2,0.5,2,0.1,2,2075,3,2214.2,2,7.822,25,2
33GG20131113,GU1305,78,22,671,6,782206,20131123,19:08,43.7733,-68.67,121,60,9.9319,33.1617,186,2,4.2,2,7.6,2,0.4,2,0.4,2,2081.3,3,2222.1,2,7.819,25,2
33GG20131113,GU1305,78,22,669,2,782202,20131123,19:08,43.7733,-68.67,121,111,10.1479,33.734,146,2,9.9,2,11.9,2,0.6,2,0.5,2,2132.3,3,2248.1,2,7.755,25,2
33GG20131113,GU1305,78,22,670,2,782202,20131123,19:08,43.7733,-68.67,121,111,10.1479,33.734,146,2,9.9,2,11.9,2,0.6,2,0.5,2,2133.5,3,2245.7,2,7.764,25,3
33GG20131113,GU1305,82,23,675,10,822310,20131124,8:31,43,-70.415,109,4,9.2785,32.8859,200,2,1.1,2,4.6,2,0.2,2,0.6,2,2052.2,2,2134.3,2,7.855,25,2
33GG20131113,GU1305,82,23,674,6,822306,20131124,8:31,43,-70.415,,,9.4407,32.9272,-999,9,-999,9,-999,9,-999,9,-999,9,2049.6,2,2192.6,2,7.849,25,2
33GG20131113,GU1305,82,23,673,2,822302,20131124,8:31,43,-70.415,109,104,8.3688,33.379,138,2,16,2,14.7,2,1,2,0,2,2153,3,2236.6,2,7.667,25,2
END_DATA
