EXPOCODE,SECT_ID,LINE,STA,CAST,BTL,BTL_QC,DATE,TIME,LAT,LONG,Bot Depth,Press (db),CTD T C° ITS-90,CTD SALT,CTD_QC,bot salt,Bot_Salt_QC,CTD OXY µmol/kg,Bot O2 µmol/kg,Bot_O2_QC,Silicate µmol/kg,Nitrate µmol/kg,Nitrite µmol/kg,Phosphate µmol/kg,Ammonia µmol/kg,DIC µmol/kg,DIC_QC,TA µmol/kg,TA_QC,pH total meas 25°C,pH_QC,Chlorophyll a concentration µg/L,PON µmol/L,POC µmol/L,POC/PON mol/mol,PON µmol/kg,POC µmol/kg
32WC20110812,WCOA2011,1,1,1,22,2,8/12/2011,15:33:45,47.11,-126.05,2292,10.25,16.671,31.742,2,-999,9,245,-999,9,4.17,0.01,0.04,0.27,0.06,1922.2,2,2153.4,2,7.973,3,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,1,1,23,2,8/12/2011,15:35:10,47.11,-126.05,2292,3.29,16.677,31.741,2,31.7432,2,254.2,251.52,6,4.6,0.05,0.03,0.25,0.05,1920.2,6,2155.8,6,7.981,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,1,1,24,2,8/12/2011,15:35:32,47.11,-126.05,2292,3.23,16.677,31.742,2,-999,9,254.2,-999,9,-999,-999,-999,-999,-999,-999,9,-999,9,-999,9,-999,1.53,12.4,8.1,1.56,12.69
32WC20110812,WCOA2011,1,2,1,1,2,8/12/2011,18:53:52,47.54,-125.68,1446,1439.56,2.623,34.521,2,34.5212,2,30.1,31.62,6,157.88,43.23,0.03,3.16,0.03,2386.1,6,2402.2,2,7.339,3,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,2,2,8/12/2011,18:54:29,47.54,-125.68,1446,1439.27,2.622,34.521,2,-999,9,28.3,-999,9,-999,-999,-999,-999,-999,-999,9,-999,9,-999,9,-999,1.2,10.47,8.8,1.23,10.76
32WC20110812,WCOA2011,1,2,1,3,2,8/12/2011,19:03:36,47.54,-125.68,1446,1000.67,3.811,34.378,2,-999,9,10.8,12.56,2,124.02,43.85,0.01,3.2,0.01,2366.9,2,2362.1,2,7.293,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,4,2,8/12/2011,19:06:58,47.54,-125.68,1446,850.49,4.195,34.32,2,-999,9,10.2,9.74,2,113.11,43.37,0.02,3.2,0,2350,2,2349.1,2,7.287,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,5,2,8/12/2011,19:09:32,47.54,-125.68,1446,749.98,4.483,34.268,2,-999,9,9.4,-999,9,104.78,42.96,0.01,3.18,0,2340.6,2,2332.9,2,7.283,3,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,6,2,8/12/2011,19:14:56,47.54,-125.68,1446,500.95,5.22,34.094,2,-999,9,32.4,33.01,2,80.91,40.68,0.02,2.96,0.01,2303.6,2,2303.7,2,7.298,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,7,2,8/12/2011,19:17:36,47.54,-125.68,1446,400.06,5.714,34.035,2,-999,9,47.1,-999,9,69.98,38.64,0.01,2.81,0,2280.3,2,2290.4,2,7.325,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,8,2,8/12/2011,19:20:11,47.54,-125.68,1446,299.8,6.458,33.989,2,-999,9,70.7,-999,9,56.83,35.43,0.01,2.57,0,2254.3,2,2282.9,2,7.372,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,9,2,8/12/2011,19:23:03,47.54,-125.68,1446,200.17,7.446,33.869,2,-999,9,114.9,114.51,2,40.72,30.3,0.01,2.23,0,2207.6,2,2259.8,2,7.451,3,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,10,2,8/12/2011,19:24:56,47.54,-125.68,1446,150.01,7.889,33.702,2,-999,9,131.2,-999,9,34.24,28.02,0.02,2.08,0,2184.3,2,2239.1,2,7.487,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,11,2,8/12/2011,19:26:20,47.54,-125.68,1446,125.25,8.312,33.572,2,-999,9,140.2,-999,9,30.72,26.32,0.02,2.01,0.01,2173.1,2,2234.8,2,7.505,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,12,2,8/12/2011,19:27:54,47.54,-125.68,1446,99.94,8.082,33.073,2,-999,9,199.1,-999,9,20.35,18.34,0.02,1.55,0.01,2109.6,2,2209.5,2,7.624,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,13,2,8/12/2011,19:29:17,47.54,-125.68,1446,80.28,8.77,32.739,2,-999,9,234.3,233.02,2,13.12,12.32,0.03,1.22,0.02,2065.4,2,2190.4,2,7.705,3,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,14,2,8/12/2011,19:30:33,47.54,-125.68,1446,59.88,8.954,32.544,2,-999,9,256,-999,9,9.04,8.46,0.03,1,0.03,2033.6,2,2172.9,3,7.754,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,15,2,8/12/2011,19:31:49,47.54,-125.68,1446,50.03,9.222,32.475,2,-999,9,258.7,-999,9,8.66,6.6,0.07,0.9,0.05,2025.9,2,2178.9,2,7.776,2,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,16,2,8/12/2011,19:32:51,47.54,-125.68,1446,40.54,9.621,32.34,2,-999,9,284,-999,9,7.37,1.69,0.08,0.67,0.07,-999,9,-999,9,-999,9,-999,1.99,15.06,7.6,2.04,15.43
32WC20110812,WCOA2011,1,2,1,17,2,8/12/2011,19:33:22,47.54,-125.68,1446,40.47,9.633,32.326,2,-999,9,291.2,205.48,4,7.55,1.56,0.08,0.66,0.09,1998.3,2,2174.4,2,7.837,3,-999,-999,-999,-999,-999,-999
32WC20110812,WCOA2011,1,2,1,18,2,8/12/2011,19:34:22,47.54,-125.68,1446,29.81,9.862,32.216,2,-999,9,247.8,-999,9,6.99,0.6,0.04,0.56,0.06,1985.9,2,2172,2,7.869,2,-999,-999,-999,-999,-999,-999
